"","lfdn","Age","Sex","Education","Work","EmploymentStatus","Income","Living","State","Religion","ReligiousCaste","PoliticalAffiliation","Vote","trust","V4","V10","Selfplacement","Weight","prompt"
"624",624,53,"female","primary education","never","in domestic work",15000,"town","Kerala","Hindu","SC (Scheduled Caste/ Dalits)","Far left (communist, etc.)","Left front Parties/Communist Party","moderate trust",4,1,5,1.12,"I am 53 and I am a female. I have a primary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Far left (communist, etc.). I identify with Left front Parties/Communist Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"625",625,63,"female","no education","never","in domestic work",35000,"town","Kerala","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","trust",3,1,5,1.72,"I am 63 and I am a female. I have a no education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"626",626,25,"male","lower secondary education","currently","in domestic work",35000,"town","Kerala","Hindu","UCH (Upper Caste Hindus)","Far left (communist, etc.)","Left front Parties/Communist Party","trust",2,1,5,1.06,"I am 25 and I am a male. I have a lower secondary education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Far left (communist, etc.). I identify with Left front Parties/Communist Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"627",627,58,"female","lower secondary education","formerly","in domestic work",35000,"town","Kerala","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","moderate trust",2,5,5,0.35,"I am 58 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"628",628,55,"female","primary education","currently","in domestic work",15000,"town","Kerala","Muslim","Others","Far left (communist, etc.)","Left front Parties/Communist Party","trust",3,1,5,2,"I am 55 and I am a female. I have a primary education. I am in domestic work. My personal income is about 15000. I am a Muslim. I live in a town in Kerala. Ideologically, I am leaning Far left (communist, etc.). I identify with Left front Parties/Communist Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"630",630,37,"male","bachelor","currently","in domestic work",15000,"town","Kerala","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","moderate trust",4,2,5,0.68,"I am 37 and I am a male. I have a bachelor. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"631",631,27,"female","lower secondary education","currently","in domestic work",8000,"town","Kerala","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","moderate trust",3,2,5,0.33,"I am 27 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 8000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"632",632,50,"male","lower secondary education","currently","in domestic work",35000,"town","Kerala","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","trust",4,5,6,0.3,"I am 50 and I am a male. I have a lower secondary education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Right / conservative. I identify with BJP. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"633",633,25,"male","bachelor","currently","in domestic work",15000,"town","Kerala","Hindu","UCH (Upper Caste Hindus)","Far left (communist, etc.)","Left front Parties/Communist Party","little trust",3,2,5,2.19,"I am 25 and I am a male. I have a bachelor. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Far left (communist, etc.). I identify with Left front Parties/Communist Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"637",637,70,"female","no education","never","in domestic work",15000,"town","Kerala","Hindu","UCH (Upper Caste Hindus)","Far left (communist, etc.)","Left front Parties/Communist Party","little trust",2,1,4,2.36,"I am 70 and I am a female. I have a no education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Far left (communist, etc.). I identify with Left front Parties/Communist Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"639",639,67,"female","no education","never","in domestic work",35000,"town","Kerala","Catholic","General","Far left (communist, etc.)","Left front Parties/Communist Party",NA,3,1,2,1.19,"I am 67 and I am a female. I have a no education. I am in domestic work. My personal income is about 35000. I am a Catholic. I live in a town in Kerala. Ideologically, I am leaning Far left (communist, etc.). I identify with Left front Parties/Communist Party. I have NA in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"642",642,53,"female","lower secondary education","never","in domestic work",35000,"town","Kerala","Catholic","General","Left / center left","Congress","trust",3,5,5,0.19,"I am 53 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 35000. I am a Catholic. I live in a town in Kerala. Ideologically, I am leaning Left / center left. I identify with Congress. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"644",644,39,"male","lower secondary education","currently","in domestic work",35000,"town","Kerala","Hindu","UCH (Upper Caste Hindus)","Far left (communist, etc.)","Left front Parties/Communist Party","trust",2,2,4,0.33,"I am 39 and I am a male. I have a lower secondary education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Far left (communist, etc.). I identify with Left front Parties/Communist Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"646",646,29,"female","lower secondary education","never","in domestic work",35000,"town","Kerala","Hindu","UCH (Upper Caste Hindus)","Far left (communist, etc.)","Left front Parties/Communist Party","moderate trust",2,3,5,0.45,"I am 29 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Far left (communist, etc.). I identify with Left front Parties/Communist Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"647",647,53,"female","lower secondary education","never","in domestic work",35000,"town","Kerala","Hindu","UCH (Upper Caste Hindus)","Left / center left","Congress","trust",4,1,5,0.28,"I am 53 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Left / center left. I identify with Congress. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"649",649,63,"female","no education","never","in domestic work",35000,"town","Kerala","Hindu","UCH (Upper Caste Hindus)","Left / center left","Congress","moderate trust",-8,1,3,1.72,"I am 63 and I am a female. I have a no education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"656",656,39,"male","no education","formerly","unemployed and looking for a job",-9,"town","Kerala","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",2,1,6,1.2,"I am 39 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about -9. I am a Hindu. I live in a town in Kerala. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"657",657,64,"female","no education","formerly","retired",-9,"country village","Kerala","Other Christian","Others","Far left (communist, etc.)","Left front Parties/Communist Party","complete trust",2,1,7,1.33,"I am 64 and I am a female. I have a no education. I am retired. My personal income is about -9. I am a Other Christian. I live in a country village in Kerala. Ideologically, I am leaning Far left (communist, etc.). I identify with Left front Parties/Communist Party. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"660",660,64,"male","no education","formerly","retired",-9,"country village","Kerala","Other Christian","Others","Far left (communist, etc.)","Left front Parties/Communist Party","complete trust",2,2,7,1.42,"I am 64 and I am a male. I have a no education. I am retired. My personal income is about -9. I am a Other Christian. I live in a country village in Kerala. Ideologically, I am leaning Far left (communist, etc.). I identify with Left front Parties/Communist Party. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"664",664,55,"male","no education","never","Other",1500,"country village","Manipur","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","moderate trust",2,1,5,1.53,"I am 55 and I am a male. I have a no education. I am Other. My personal income is about 1500. I am a Hindu. I live in a country village in Manipur. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"665",665,23,"male","upper secondary education","never","unemployed and looking for a job",15000,"country village","Manipur","Sikh","General","Center / liberal","Regional Party","trust",1,4,4,2.79,"I am 23 and I am a male. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 15000. I am a Sikh. I live in a country village in Manipur. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"671",671,31,"female","upper secondary education","never","unemployed and looking for a job",4500,"country village","Manipur","Hindu","UCH (Upper Caste Hindus)","Right / conservative","BJP","moderate trust",5,2,9,0.5,"I am 31 and I am a female. I have a upper secondary education. I am unemployed and looking for a job. My personal income is about 4500. I am a Hindu. I live in a country village in Manipur. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"672",672,54,"male","upper secondary education","currently","in paid work",35000,"country village","Manipur","Hindu","UCH (Upper Caste Hindus)","Center / liberal","Regional Party","moderate trust",4,2,4,0.34,"I am 54 and I am a male. I have a upper secondary education. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Manipur. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"674",674,44,"male","no education","never","unemployed and looking for a job",15000,"country village","Meghalaya","Other Christian","Others","Center / liberal","Regional Party","complete trust",2,3,8,1.76,"I am 44 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about 15000. I am a Other Christian. I live in a country village in Meghalaya. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"677",677,45,"male","upper secondary education","currently","in paid work",15000,"country village","Meghalaya","Other Christian","Others","Center / liberal","Regional Party","little trust",1,1,9,0.32,"I am 45 and I am a male. I have a upper secondary education. I am in paid work. My personal income is about 15000. I am a Other Christian. I live in a country village in Meghalaya. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"678",678,29,"female","lower secondary education","never","in domestic work",15000,"country village","Meghalaya","Catholic","General","Center / liberal","Regional Party","trust",2,1,6,0.48,"I am 29 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 15000. I am a Catholic. I live in a country village in Meghalaya. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"679",679,35,"male","no education","never","unemployed and looking for a job",8000,"country village","Meghalaya","Other Christian","General","Center / liberal","Regional Party","moderate trust",2,1,9,1.27,"I am 35 and I am a male. I have a no education. I am unemployed and looking for a job. My personal income is about 8000. I am a Other Christian. I live in a country village in Meghalaya. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"682",682,44,"male","bachelor","currently","in paid work",35000,"country village","Meghalaya","Other Christian","Others","Center / liberal","Regional Party","moderate trust",2,4,6,0.39,"I am 44 and I am a male. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Other Christian. I live in a country village in Meghalaya. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"684",684,44,"female","no education","never","in domestic work",1500,"country village","Mizoram","Hindu","ST (Scheduled Tribes)","Center / liberal","Regional Party","moderate trust",2,3,5,1.11,"I am 44 and I am a female. I have a no education. I am in domestic work. My personal income is about 1500. I am a Hindu. I live in a country village in Mizoram. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"685",685,31,"male","bachelor","never","unemployed and looking for a job",15000,"country village","Mizoram","Other Christian","General","Center / liberal","Regional Party","trust",-8,3,5,0.78,"I am 31 and I am a male. I have a bachelor. I am unemployed and looking for a job. My personal income is about 15000. I am a Other Christian. I live in a country village in Mizoram. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"686",686,26,"female","no education","never","unemployed and looking for a job",4500,"country village","Mizoram","Other Christian","Others","Center / liberal","Regional Party","little trust",4,3,10,1.74,"I am 26 and I am a female. I have a no education. I am unemployed and looking for a job. My personal income is about 4500. I am a Other Christian. I live in a country village in Mizoram. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have little trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"688",688,51,"female","lower secondary education","never","in domestic work",15000,"a big city","Puducherry","Hindu","OBC (Other Backward Classes)","Left / center left","Congress","moderate trust",1,4,6,0.28,"I am 51 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a a big city in Puducherry. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"689",689,51,"male","no education","currently","in paid work",4500,"a big city","Puducherry","Hindu","SC (Scheduled Caste/ Dalits)","Left / center left","Congress","moderate trust",2,4,7,0.87,"I am 51 and I am a male. I have a no education. I am in paid work. My personal income is about 4500. I am a Hindu. I live in a a big city in Puducherry. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"690",690,36,"male","bachelor","currently","in paid work",35000,"the suburbs","Puducherry","Hindu","OBC (Other Backward Classes)","Left / center left","Congress","moderate trust",2,4,8,0.37,"I am 36 and I am a male. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a the suburbs in Puducherry. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"691",691,35,"female","upper secondary education","never","in domestic work",15000,"a big city","Puducherry","Hindu","OBC (Other Backward Classes)","Left / center left","Congress","moderate trust",2,4,8,0.31,"I am 35 and I am a female. I have a upper secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a a big city in Puducherry. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"692",692,49,"male","no education","currently","in paid work",8000,"a big city","Puducherry","Hindu","SC (Scheduled Caste/ Dalits)","Left / center left","Congress","trust",1,4,5,0.87,"I am 49 and I am a male. I have a no education. I am in paid work. My personal income is about 8000. I am a Hindu. I live in a a big city in Puducherry. Ideologically, I am leaning Left / center left. I identify with Congress. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"693",693,22,"female","bachelor","currently","in paid work",35000,"a big city","Puducherry","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","moderate trust",1,4,6,1.1,"I am 22 and I am a female. I have a bachelor. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a a big city in Puducherry. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"694",694,46,"female","lower secondary education","never","in domestic work",15000,"town","Puducherry","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","moderate trust",1,4,9,0.28,"I am 46 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a town in Puducherry. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"695",695,45,"female","lower secondary education","never","in domestic work",35000,"town","Puducherry","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","moderate trust",3,5,8,0.21,"I am 45 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a town in Puducherry. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"696",696,33,"female","lower secondary education","never","in domestic work",35000,"town","Puducherry","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","trust",2,4,8,0.33,"I am 33 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a town in Puducherry. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"697",697,39,"female","upper secondary education","never","in domestic work",-9,"town","Puducherry","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","trust",3,3,8,0.23,"I am 39 and I am a female. I have a upper secondary education. I am in domestic work. My personal income is about -9. I am a Hindu. I live in a town in Puducherry. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"698",698,43,"female","upper secondary education","never","in domestic work",15000,"town","Puducherry","Hindu","OBC (Other Backward Classes)","Center / liberal","Regional Party","moderate trust",1,5,8,0.31,"I am 43 and I am a female. I have a upper secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a town in Puducherry. Ideologically, I am leaning Center / liberal. I identify with Regional Party. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"699",699,50,"female","primary education","currently","in paid work",35000,"town","Puducherry","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","moderate trust",2,4,9,1.03,"I am 50 and I am a female. I have a primary education. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a town in Puducherry. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"700",700,43,"male","primary education","currently","in domestic work",15000,"country village","Punjab","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","complete trust",2,1,7,1.5,"I am 43 and I am a male. I have a primary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Punjab. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"701",701,38,"female","primary education","currently","in paid work",15000,"country village","Punjab","Hindu","OBC (Other Backward Classes)","Left / center left","Congress","moderate trust",2,1,8,1.76,"I am 38 and I am a female. I have a primary education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Punjab. Ideologically, I am leaning Left / center left. I identify with Congress. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"702",702,33,"male","bachelor","currently","in paid work",15000,"country village","Punjab","Hindu","OBC (Other Backward Classes)","Right / conservative","BJP","complete trust",2,1,8,0.84,"I am 33 and I am a male. I have a bachelor. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Punjab. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"703",703,40,"male","no education","currently","in paid work",15000,"country village","Punjab","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","moderate trust",1,1,8,1.5,"I am 40 and I am a male. I have a no education. I am in paid work. My personal income is about 15000. I am a Hindu. I live in a country village in Punjab. Ideologically, I am leaning Right / conservative. I identify with BJP. I have moderate trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"704",704,23,"female","lower secondary education","currently","in paid work",35000,"country village","Punjab","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","complete trust",1,1,8,0.66,"I am 23 and I am a female. I have a lower secondary education. I am in paid work. My personal income is about 35000. I am a Hindu. I live in a country village in Punjab. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"705",705,32,"male","primary education","currently","in domestic work",15000,"country village","Punjab","Hindu","SC (Scheduled Caste/ Dalits)","Left / center left","Congress","complete trust",3,1,7,2.2,"I am 32 and I am a male. I have a primary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Punjab. Ideologically, I am leaning Left / center left. I identify with Congress. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"706",706,46,"female","lower secondary education","currently","in domestic work",35000,"country village","Punjab","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","complete trust",3,1,7,0.19,"I am 46 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a country village in Punjab. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"707",707,53,"female","lower secondary education","currently","in domestic work",15000,"country village","Punjab","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","complete trust",3,1,7,0.25,"I am 53 and I am a female. I have a lower secondary education. I am in domestic work. My personal income is about 15000. I am a Hindu. I live in a country village in Punjab. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
"708",708,32,"male","primary education","currently","in domestic work",35000,"country village","Punjab","Hindu","SC (Scheduled Caste/ Dalits)","Right / conservative","BJP","complete trust",3,1,7,1.61,"I am 32 and I am a male. I have a primary education. I am in domestic work. My personal income is about 35000. I am a Hindu. I live in a country village in Punjab. Ideologically, I am leaning Right / conservative. I identify with BJP. I have complete trust in the government. Did I vote in the Indian General Election (Lok Shabha) in 2019, and if so, which party did I vote for? 
                    (Please use this information to make a prediction as well as possible, and I would like the answer to be extremly short). I [INSERT]"
